program,invoke_count,compute_units,avg_cu
mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,69,1320172,19132
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,19,1208078,63583
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,214,1195063,5584
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,153,634760,4148
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,100,300206,3002
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,4,282178,70544
R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs,3,232943,77647
SSwpMgqNDsyV7mAgN9ady4bDVu5ySjmmXejXvy2vLt1,1,125346,125346
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,4,108316,27079
cndyAnrLdpjq1Ssp1z8xxDsB8dxe7u4HL5Nxi2K5WXZ,1,99604,99604
QMNeHCGYnLVDn1icRAfQZpjPLBNkfGbSKRB83G5d8KB,1,87988,87988
MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,1,75985,75985
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo,2,64385,32192
metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,3,63661,21220
RDM23yr8pr1kEAmhnFpaabPny6C9UVcEcok3Py5v86X,1,58198,58198
6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,1,42759,42759
DzpARSggzEgNc2HLdrMEguSf9KGPh5RG1NMBqNnF8ZuU,3,42012,14004
QMWoBmAyJLAsA1Lh9ugMTw2gciTihncciphzdNzdZYV,2,41804,20902
6CXbGX2yDfdThSZFUMfQ2Le65nv1z87gE7k5yo37VEc8,1,41732,41732
MEisE1HzehtrDpAAT8PnLHjpSSkRYakotTuJRPjTpo8,1,38216,38216
3rVEgTR97opXeV2DPaHbyj4MTXbTWcQ3eeUcgdcmKkyT,1,33816,33816
rinajRPUgiiW2rG6uieXvcNNQNaWr9ZcMmqo28VvXfa,1,25213,25213
UBEBk5idELqykEEaycYtQ7iBVrCg6NmvFSzMpdr22mL,1,14714,14714
J21zqcffYQU2NUJrvAKhqpKZLQK1YaB9dY5kmcxkMQvQ,1,11692,11692
AR5TsCDUYpCqVZgssYo6gYMDPRrtRRzYLL65omZhoQ6F,1,10528,10528
trsryGQ6V9dfNBRnUZKmbK1RsfqTyNnxa7jhKogHdMQ,1,10065,10065
Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,14,5236,374
6iA8L9KrBk5BXpRzVFLNDmXHg7q4w3JmTkTDotq5W3PQ,1,4394,4394
1SoLTvbiicqXZ3MJmnTL2WYXKLYpuxwHpa4yYrVQaMZ,1,1346,1346
Total Non-Vote Invokes,606,6180410,10198
Total Votes,22,,
Total Invokes & Votes,628,,
