slot,tx_count,compute_units
110592317,2452,2570580
110592318,1542,2056528
110592319,1375,2195056
110592320,0,0
110592321,0,0
110592322,0,0
110592323,0,0
110592324,1489,1752189
110592325,860,2706014
110592326,1672,2572050
110592327,1013,1993494
110592328,3326,2970287
110592329,881,2691341
110592330,1915,2894375
110592331,898,1538543
110592332,3121,1334727
110592333,887,1719862
110592334,1374,1620344
110592335,1424,1606843
110592336,2508,2112963
110592337,1663,2491703
110592338,792,2067353
110592339,1530,1610163
110592340,0,0
110592341,2255,1507859
110592342,1396,1538328
110592343,871,1553302
110592344,966,732186
110592345,1315,593050
110592346,1301,1270522
110592347,1304,1704735
110592348,2772,1692314
110592349,2532,2647218
110592350,1874,4287420
110592351,763,2147925
110592352,2011,1517464
110592353,1119,979900
110592354,636,921577
110592355,1330,1552047
110592356,2039,1291920
110592357,1644,3711106
110592358,1420,2745952
110592359,1915,2288313
110592360,2712,2775088
110592361,2321,1711468
110592362,1357,3314976
110592363,1776,2865465
110592364,3642,3181333
110592365,1266,4248329
110592366,1732,3461791
110592367,1381,2623289
110592368,0,0
110592369,1631,1419906
110592370,1383,1824097
110592371,1261,1575070
110592372,3736,3548600
110592373,1938,4415975
110592374,1642,2459908
110592375,1324,3870467
110592376,2909,1978612
110592377,1799,3375493
110592378,1751,2767447
110592379,1112,1736939
110592380,1726,1078426
110592381,1634,1448024
110592382,1022,1630431
110592383,1785,1548471
110592384,0,0
110592385,0,0
110592386,0,0
110592387,0,0
110592388,1506,1177660
110592389,473,1130334
110592390,702,2125126
110592391,1811,2399920
110592392,3246,2865407
110592393,801,2141008
110592394,1201,2270003
110592395,2411,4723198
110592396,3603,3522090
110592397,1076,4947158
110592398,1723,1910409
110592399,686,1733043
110592400,3249,2067201
110592401,1494,3310464
110592402,1847,1182676
110592403,1115,2145252
110592404,2874,1752189
110592405,1730,3010959
110592406,1045,2109466
110592407,332,757849
110592408,1948,1497179
110592409,1716,2060767
110592410,1503,1794742
110592411,1766,2140458
110592412,2951,2203492
110592413,1792,2488136
110592414,821,1301704
110592415,1036,1191299
110592416,1968,1873740
110592417,1941,1602593
110592418,1310,1814807
110592419,1986,1429888
110592420,4136,3302442
110592421,523,2607472
110592422,338,1334087
110592423,2520,1392973
110592424,1465,932754
110592425,1349,2173334
110592426,964,2230233
110592427,1296,1569168
110592428,3063,2619045
110592429,2036,2308487
110592430,1029,1581482
110592431,1098,1681797
110592432,3413,3634961
110592433,1666,2608244
110592434,1251,1464004
110592435,773,1358044
110592436,3476,2957151
110592437,1160,2333123
110592438,1707,1697941
110592439,2184,2532057
110592440,706,69365
110592441,1092,17874
110592442,899,795748
110592443,947,939009
110592444,1512,1777575
110592445,1586,2013754
110592446,1481,1504170
110592447,1499,1983298
110592448,3956,2807433
110592449,1707,3284861
110592450,1306,4608195
110592451,1502,1787081
110592452,0,0
110592453,0,0
110592454,0,0
110592455,0,0
110592456,1243,963840
110592457,753,1687536
110592458,1267,2204494
110592459,1198,1188801
110592460,1803,1275898
110592461,1738,1827165
110592462,1678,1949455
110592463,1384,2400926
110592464,3329,3986799
110592465,1745,3525529
110592466,2100,3012921
110592467,2172,2928832
110592468,0,0
110592469,0,0
110592470,0,0
110592471,0,0
110592472,1372,1799097
110592473,479,2145192
110592474,1473,1433696
110592475,1068,2873251
110592476,1434,2476022
110592477,1042,1494950
110592478,1361,1637580
110592479,1392,1636396
110592480,1045,156238
110592481,1333,1430496
110592482,1463,1527945
110592483,1877,1490290
110592484,0,0
110592485,3012,2244408
110592486,2325,5142051
110592487,1146,2569545
110592488,1350,1997788
110592489,0,0
110592490,0,0
110592491,0,0
110592492,0,0
110592493,1676,741716
110592494,2010,1543413
110592495,514,1002594
110592496,1830,936955
110592497,1836,1608828
110592498,1670,2272493
110592499,1356,2562065
110592500,3307,3333625
110592501,1268,3110636
110592502,2146,1791332
110592503,1293,2958474
110592504,2954,1157853
110592505,1115,5184368
110592506,984,3673630
110592507,1928,2527288
110592508,3061,1663429
110592509,0,0
110592510,2384,1869758
110592511,685,3207846
110592512,3342,3393154
110592513,607,2665936
110592514,1693,2400798
110592515,992,2520308
110592516,3689,2501258
110592517,1131,1900370
110592518,370,1324794
110592519,2257,2136460
110592520,3464,2898123
110592521,1028,2641860
110592522,1262,1351012
110592523,1887,2209877
110592524,1527,1671613
110592525,1842,2271986
110592526,1808,2129820
110592527,845,3064647
110592528,2166,2236040
110592529,1816,1612671
110592530,1375,1417317
110592531,773,857188
110592532,3054,2339012
110592533,1176,1696542
110592534,1598,2224505
110592535,1714,1604277
110592536,1745,1306972
110592537,1688,1639659
110592538,1627,1331559
110592539,1054,1859599
110592540,1140,2597452
110592541,2162,1799682
110592542,1357,1120590
110592543,1347,1439506
110592544,2239,2349719
110592545,1990,1476412
110592546,1626,1004288
110592547,1035,1328351
110592548,3182,2297754
110592549,867,2014200
110592550,622,1692477
110592551,1251,1298609
110592552,2458,1381125
110592553,2453,1241647
110592554,1687,1665412
110592555,1226,1753475
110592556,1146,207089
110592557,483,619244
110592558,730,745501
110592559,1386,835051
110592560,0,0
110592561,1567,1635309
110592562,1774,724021
110592563,683,90934
110592564,4020,2320620
110592565,1584,3593782
110592566,1007,2230483
110592567,3004,2724641
110592568,2693,2617808
110592569,771,3048857
110592570,811,2716743
110592571,390,1016910
110592572,0,0
110592573,0,0
110592574,0,0
110592575,0,0
110592576,1536,515042
110592577,634,1304802
110592578,1537,1593381
110592579,819,1555104
110592580,3125,2180945
110592581,411,1854157
110592582,1444,3094417
110592583,1216,2952964
110592584,3519,2185105
110592585,1340,2946999
110592586,714,2724689
110592587,1118,2749847
110592588,0,0
110592589,2180,876775
110592590,1739,1982438
110592591,1077,1951005
110592592,1841,2288622
110592593,1979,1393039
110592594,881,1912278
110592595,1391,2279054
110592596,0,0
110592597,0,0
110592598,0,0
110592599,0,0
110592600,2960,2562818
110592601,379,1909186
110592602,1592,2690402
110592603,1431,3711684
110592604,3790,2217263
110592605,591,2315480
110592606,792,2818095
110592607,1181,2492097
110592608,0,0
110592609,0,0
110592610,0,0
110592611,0,0
110592612,2854,1546525
110592613,1030,3575650
110592614,1584,2976556
110592615,1226,2319337
110592616,4057,2973503
110592617,1316,2485530
110592618,1219,1252271
110592619,1800,1529850
110592620,3793,2702938
110592621,299,1660032
110592622,2600,2254009
110592623,458,1834201
110592624,1107,989127
110592625,1609,1566121
110592626,1357,1574282
110592627,1128,2150666
110592628,1539,3057919
110592629,2414,2890791
110592630,2011,2310426
110592631,863,2657951
110592632,3981,3290308
110592633,1100,2409885
110592634,764,1930922
110592635,2935,1863446
110592636,1731,55552
110592637,666,748639
110592638,1455,1061132
110592639,861,1053633
110592640,1139,823707
110592641,1664,1747550
110592642,1125,1182045
110592643,2140,1709259
110592644,1324,1196408
110592645,1812,1061216
110592646,1279,1139160
110592647,1323,1014633
110592648,2039,1521077
110592649,1650,1745487
110592650,825,1257975
110592651,2106,1152696
110592652,2111,2473392
110592653,1933,3161292
110592654,1685,2371037
110592655,971,1696953
110592656,1587,1378862
110592657,2116,1253006
110592658,1597,1978686
110592659,1650,1636216
110592660,2774,1826731
110592661,1909,1492324
110592662,1404,2465046
110592663,1795,1645202
110592664,1393,471784
110592665,1006,1294447
110592666,688,994223
110592667,700,1068861
110592668,1228,716679
110592669,1286,650443
110592670,1034,824426
110592671,1238,761735
110592672,3257,1915890
110592673,2554,2838117
110592674,2222,2902283
110592675,747,1826581
110592676,1551,1533160
110592677,1178,1880762
110592678,1583,2207058
110592679,1796,1972273
110592680,1416,99851
110592681,1282,1397881
110592682,1160,1163011
110592683,964,1266796
110592684,2188,2220711
110592685,2518,2577690
110592686,2119,2378985
110592687,1811,2779168
110592688,3432,2583047
110592689,1280,4005694
110592690,1624,3452666
110592691,2042,3187281
110592692,1891,1271229
110592693,987,1386934
110592694,620,1543979
110592695,808,3370731
110592696,0,0
110592697,0,0
110592698,0,0
110592699,0,0
110592700,0,0
110592701,0,0
110592702,0,0
110592703,0,0
110592704,1267,835876
110592705,745,1421358
110592706,1043,1374345
110592707,1196,1377276
110592708,1764,1277143
110592709,1724,2094818
110592710,1877,1804281
110592711,544,1516583
110592712,1902,1114040
110592713,1340,2077359
110592714,817,1436701
110592715,1136,1006598
110592716,2109,691102
110592717,2042,2342522
110592718,1309,2292343
110592719,1564,1877784
110592720,1394,760477
110592721,1306,1847421
110592722,1296,1362306
110592723,1599,1933346
110592724,1686,2066809
110592725,1923,2621307
110592726,1593,2335328
110592727,1977,2083806
110592728,1539,1422166
110592729,2024,2179532
110592730,1050,1875590
110592731,653,2214147
110592732,0,0
110592733,0,0
110592734,0,0
110592735,0,0
110592736,0,0
110592737,0,0
110592738,0,0
110592739,0,0
110592740,0,0
110592741,0,0
110592742,0,0
110592743,0,0
110592744,1498,1831554
110592745,411,2149732
110592746,1447,2185650
110592747,1037,1653112
110592748,2748,2199225
110592749,616,4980262
110592750,1386,1263918
110592751,791,2067880
110592752,1210,1502878
110592753,1172,3204776
110592754,1258,3024154
110592755,983,1564799
110592756,1582,1442864
110592757,1487,1624102
110592758,1492,1479731
110592759,808,1370919
110592760,2667,2073990
110592761,397,1350515
110592762,813,794503
110592763,875,1252929
110592764,3131,1834599
110592765,665,1471534
110592766,1582,1855068
110592767,568,1900377
110592768,2643,1946482
110592769,373,1530651
110592770,913,1765025
110592771,1510,1843107
110592772,985,181541
110592773,963,95537
110592774,823,482145
110592775,1052,1897542
110592776,2974,3398990
110592777,961,2410438
110592778,1164,1457376
110592779,1131,1399886
110592780,2834,1875328
110592781,682,1801009
110592782,1551,1201105
110592783,889,1923312
110592784,1327,1235134
110592785,1178,981069
110592786,754,1010091
110592787,874,912420
110592788,1144,156823
110592789,1247,941256
110592790,1170,1293360
110592791,878,1338579
110592792,1811,2275552
110592793,1340,1492622
110592794,1192,1067585
110592795,775,1661907
110592796,1500,1011921
110592797,1796,1594749
110592798,1224,1943979
110592799,1523,1569498
110592800,949,1235487
110592801,1086,1274045
110592802,1035,1574212
110592803,1301,1832092
110592804,3123,2424406
110592805,1074,2738898
110592806,885,1125730
110592807,753,1279996
110592808,1381,10393
110592809,1063,527735
110592810,847,1060320
110592811,908,1014025
110592812,1022,570417
110592813,1197,1179159
110592814,948,1227610
110592815,1087,1056038
110592816,3548,3122274
110592817,1288,4300466
110592818,618,1683950
110592819,1064,1350955
110592820,2984,1621508
110592821,1053,3289525
110592822,1535,2194401
110592823,1052,1334842
110592824,2450,1684798
110592825,1203,2198732
110592826,798,1121953
110592827,453,1191569
110592828,2946,1520968
110592829,380,1568293
110592830,264,1041382
110592831,1946,852494
110592832,1524,654413
110592833,727,1270616
110592834,984,955780
110592835,879,755545
110592836,1630,1679173
110592837,1328,1764013
110592838,1550,1819874
110592839,863,1757398
110592840,3072,1961950
110592841,501,2625613
110592842,1897,1865335
110592843,1148,1362245
110592844,1355,17982
110592845,1153,143541
110592846,593,1534846
110592847,465,1871233
110592848,1609,1679225
110592849,1446,1301846
110592850,1325,1964579
110592851,973,1799864
110592852,1751,1630616
110592853,1492,2368381
110592854,1307,2264327
110592855,949,1853029
110592856,1553,177788
110592857,1450,1476266
110592858,301,613956
110592859,719,1780511
110592860,1508,1742158
110592861,1280,1297754
110592862,1118,1229171
110592863,1513,1483504
110592864,2774,1608116
110592865,1663,2445422
110592866,1527,2851202
110592867,1796,3099693
110592868,3066,63107
110592869,945,3075182
110592870,1400,2150543
110592871,716,1621310
110592872,3244,1546516
110592873,1570,1386996
110592874,2108,1351908
110592875,810,1545278
110592876,1267,958508
110592877,1264,1003338
110592878,1377,1304682
110592879,1738,1410042
110592880,2823,1677013
110592881,1803,1361032
110592882,1590,904324
110592883,1138,2142462
110592884,2443,1300228
110592885,2410,1631485
110592886,1786,2350557
110592887,602,1789346
110592888,2622,1839295
110592889,1300,1880083
110592890,1246,2877577
110592891,979,2697127
110592892,1820,406015
110592893,1357,675482
110592894,1546,568107
110592895,481,782414
110592896,0,0
110592897,0,0
110592898,0,0
110592899,0,0
110592900,1578,1289477
110592901,708,3187647
110592902,1338,1410097
110592903,1192,1357858
110592904,2063,974444
110592905,1112,1038453
110592906,716,955514
110592907,1014,1157629
110592908,3202,1936346
110592909,1853,4142977
110592910,1219,2356639
110592911,1660,1521274
110592912,1605,1133267
110592913,1552,1168360
110592914,712,1010370
110592915,1563,1255533
110592916,3678,3136576
110592917,1603,3064668
110592918,1976,2865299
110592919,1334,2394307
110592920,3446,1900503
110592921,1082,3109950
110592922,585,1411302
110592923,2863,1751128
110592924,1556,282542
110592925,957,1022321
110592926,912,1258721
110592927,1404,1287878
110592928,1823,2006303
110592929,2017,2806776
110592930,1192,1558144
110592931,1504,1324194
110592932,1368,881755
110592933,458,632423
110592934,1116,1150821
110592935,873,886900
110592936,0,0
110592937,0,0
110592938,0,0
110592939,0,0
110592940,0,0
110592941,0,0
110592942,0,0
110592943,0,0
110592944,1265,702992
110592945,1212,1363219
110592946,805,1678553
110592947,458,2081061
110592948,2619,2428876
110592949,1883,2858774
110592950,1051,3759900
110592951,1498,3551298
110592952,1152,1196170
110592953,1481,1931136
110592954,1615,1357727
110592955,502,1581417
110592956,1292,724413
110592957,1641,1529608
110592958,1367,1580566
110592959,1610,2251809
110592960,3111,2384801
110592961,1717,3847496
110592962,970,2155234
110592963,1557,2226466
110592964,1577,756241
110592965,1803,2491287
110592966,1181,2077761
110592967,1755,2645522
110592968,2506,2969269
110592969,1911,2627395
110592970,1853,2283911
110592971,1235,1531330
110592972,2968,2049291
110592973,1041,2218476
110592974,2525,2190716
110592975,762,1809466
110592976,1373,953775
110592977,1599,1363622
110592978,1245,1484374
110592979,1758,1582010
110592980,2178,2036454
110592981,2019,2146932
110592982,1441,1484040
110592983,1285,1370288
110592984,1349,959775
110592985,1624,1778674
110592986,1820,1992934
110592987,1830,1481901
110592988,1550,1209667
110592989,2013,2020249
110592990,1148,1602274
110592991,1264,1158943
110592992,1972,1682553
110592993,2306,1928688
110592994,2093,1964221
110592995,1007,1465018
110592996,1828,1227920
110592997,1875,1850377
110592998,1417,1643668
110592999,1583,1791718
110593000,1616,1459786
110593001,2462,2977141
110593002,1817,2459978
110593003,1053,2626401
110593004,1390,346790
110593005,921,911686
110593006,908,626624
110593007,1408,1102171
110593008,3165,2141186
110593009,2986,3277840
110593010,2091,2880779
110593011,1417,1761376
110593012,1179,801011
110593013,855,1093708
110593014,941,1384591
110593015,835,1117149
110593016,3280,3720123
110593017,2607,3053491
110593018,2225,3224210
110593019,788,2524988
110593020,0,0
110593021,1835,2455785
110593022,1422,3858272
110593023,1714,3444163
110593024,3795,2797411
110593025,1772,3047025
110593026,1549,3761135
110593027,1006,2190189
110593028,0,0
110593029,2027,1138824
110593030,1735,2250497
110593031,1343,1906039
110593032,3508,2370757
110593033,1738,3951954
110593034,1953,1952558
110593035,916,2111562
110593036,1497,1049327
110593037,1350,2350316
110593038,1483,1629673
110593039,2074,1650665
