program,invoke_count,compute_units,avg_cu
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,497,1773519,3568
D3z8BLmMnPD1LaKwCkyCisM7iDyw9PsXXmvatUwjCuqT,8,722596,90324
R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs,8,248392,31049
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,7,180093,25727
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,51,142327,2790
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,1,76432,76432
mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,4,46857,11714
6CXbGX2yDfdThSZFUMfQ2Le65nv1z87gE7k5yo37VEc8,1,40155,40155
sig1Ws94maWrFVJRJxY2ZB2Y4ouvvcw2oywYcR9iBtB,1,40134,40134
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,1,35537,35537
J21zqcffYQU2NUJrvAKhqpKZLQK1YaB9dY5kmcxkMQvQ,2,22330,11165
trsryGQ6V9dfNBRnUZKmbK1RsfqTyNnxa7jhKogHdMQ,1,10065,10065
6iA8L9KrBk5BXpRzVFLNDmXHg7q4w3JmTkTDotq5W3PQ,1,4308,4308
Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,1,374,374
Total Non-Vote Invokes,584,3343119,5724
Total Votes,981,,
Total Invokes & Votes,1565,,
